Symbol,exchange_timestamp,last_price,volume_traded,last_traded_quantity,open_interest,change_in_oi,bid_price_1,bid_qty_1,bid_price_2,bid_qty_2,bid_price_3,bid_qty_3,bid_price_4,bid_qty_4,bid_price_5,bid_qty_5,ask_price_1,ask_qty_1,ask_price_2,ask_qty_2,ask_price_3,ask_qty_3,ask_price_4,ask_qty_4,ask_price_5,ask_qty_5,total_buy_qty,total_sell_qty
MCX,2025-11-17 12:08:28.261114,9771.0,350125,250,2620250,0,9764.0,250,9771.5,125,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,64375,66875
RELIND,2025-11-17 12:08:28.268681,1518.4,3367500,500,100703500,0,1517.9,1000,1518.4,1000,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,342000,874000
TRENT,2025-11-17 12:08:28.273028,4405.7,295700,100,8173800,0,4405.7,100,4407.2,100,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,44600,123700
TCS,2025-11-17 12:08:29.385748,3110.5,701400,175,24386600,0,3109.5,350,3109.9,175,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,126350,219625
MCX,2025-11-17 12:08:29.435695,9771.0,350125,250,2620250,0,9765.0,250,9771.0,125,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,64500,66750
RELIND,2025-11-17 12:08:29.436984,1518.4,3367500,500,100703500,0,1517.9,1000,1518.4,1500,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,343000,874000
TRENT,2025-11-17 12:08:29.439230,4405.7,295700,100,8173800,0,4405.3,100,4407.2,100,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,44400,123600
TCS,2025-11-17 12:08:30.612922,3110.5,701400,175,24386600,0,3109.5,350,3109.9,175,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,126525,219625
RELIND,2025-11-17 12:08:30.656588,1518.4,3367500,500,100703500,0,1517.9,1000,1518.4,2000,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,342000,872000
TRENT,2025-11-17 12:08:30.657767,4405.7,295700,100,8173800,0,4405.3,100,4407.1,100,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,44500,123700
MCX,2025-11-17 12:08:30.773784,9771.0,350125,250,2620250,0,9765.0,125,9771.0,125,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,64500,66875
TCS,2025-11-17 12:08:31.841195,3110.5,701400,175,24386600,0,3109.5,350,3109.9,175,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,126525,219975
MCX,2025-11-17 12:08:31.842609,9771.0,350125,250,2620250,0,9765.0,125,9771.0,125,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,64500,67250
TRENT,2025-11-17 12:08:14.435017,4405.7,295700,100,8173800,0,4405.6,200,4407.0,100,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,44200,124100
RELIND,2025-11-17 12:08:14.436345,1518.4,3367500,500,100703500,0,1517.9,1000,1518.4,1000,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,344500,874500
TRENT,2025-11-17 12:08:15.457453,4405.7,295700,100,8173800,0,4405.6,200,4407.0,200,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,43800,124000
TCS,2025-11-17 12:08:15.663167,3110.5,701400,175,24386600,0,3109.5,175,3109.9,175,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,126700,218400
MCX,2025-11-17 12:08:15.664329,9767.0,349750,125,2620250,0,9767.0,375,9771.0,375,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,65250,66875
RELIND,2025-11-17 12:08:15.665399,1518.4,3367500,500,100703500,0,1517.9,500,1518.4,1000,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,344500,875000
TCS,2025-11-17 12:08:16.586347,3110.5,701400,175,24386600,0,3109.5,175,3109.9,175,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,126350,218400
TRENT,2025-11-17 12:08:16.619985,4405.7,295700,100,8173800,0,4405.6,200,4407.0,200,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,44200,124100
MCX,2025-11-17 12:08:16.792163,9767.0,349750,125,2620250,0,9767.0,375,9771.0,125,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,65250,66625
RELIND,2025-11-17 12:08:16.793959,1518.4,3367500,500,100703500,0,1517.9,500,1518.4,500,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,345000,875000
TCS,2025-11-17 12:08:17.816624,3110.5,701400,175,24386600,0,3109.5,175,3109.9,175,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,126875,218400
TRENT,2025-11-17 12:08:17.817640,4405.7,295700,100,8173800,0,4405.6,200,4407.0,200,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,44200,124100
MCX,2025-11-17 12:08:18.019593,9767.0,349750,125,2620250,0,9767.0,375,9771.0,375,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,65250,67000
RELIND,2025-11-17 12:08:18.020655,1518.4,3367500,500,100703500,0,1517.9,500,1518.5,1500,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,345000,875000
TRENT,2025-11-17 12:08:18.839577,4405.7,295700,100,8173800,0,4405.6,200,4407.0,200,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,44200,124100
TCS,2025-11-17 12:08:18.935342,3110.5,701400,175,24386600,0,3109.5,175,3109.9,175,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,126700,218750
RELIND,2025-11-17 12:08:19.039175,1518.4,3367500,500,100703500,0,1517.9,1500,1518.5,1500,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,346000,874500
MCX,2025-11-17 12:08:19.247309,9767.0,349750,125,2620250,0,9767.0,375,9771.0,375,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,65250,67000
TRENT,2025-11-17 12:08:20.271827,4405.7,295700,100,8173800,0,4405.6,200,4407.0,100,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,44300,123800
RELIND,2025-11-17 12:08:20.273416,1518.4,3367500,500,100703500,0,1517.9,1500,1518.5,1000,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,345500,874500
TCS,2025-11-17 12:08:20.274611,3110.5,701400,175,24386600,0,3109.5,175,3109.9,175,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,126700,218750
MCX,2025-11-17 12:08:20.373703,9771.0,349750,250,2620250,0,9767.0,375,9771.0,375,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,65250,67000
MCX,2025-11-17 12:08:20.374904,9771.0,350125,250,2620250,0,9765.0,250,9771.5,125,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,64625,66750
TRENT,2025-11-17 12:08:21.297873,4405.7,295700,100,8173800,0,4405.6,200,4407.0,100,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,44600,123800
RELIND,2025-11-17 12:08:21.299195,1518.4,3367500,500,100703500,0,1517.9,1500,1518.5,1000,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,345500,874500
TCS,2025-11-17 12:08:21.348716,3110.5,701400,175,24386600,0,3109.5,175,3109.9,175,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,126700,218750
MCX,2025-11-17 12:08:21.749871,9771.0,350125,250,2620250,0,9766.0,250,9772.0,125,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,64750,66625
RELIND,2025-11-17 12:08:22.423251,1518.4,3367500,500,100703500,0,1517.9,1500,1518.5,1000,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,346000,874500
TRENT,2025-11-17 12:08:22.424258,4405.7,295700,100,8173800,0,4405.6,200,4407.2,200,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,44400,123700
TCS,2025-11-17 12:08:22.571774,3110.5,701400,175,24386600,0,3109.5,175,3110.1,525,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,126875,218925
MCX,2025-11-17 12:08:22.960539,9771.0,350125,250,2620250,0,9766.0,250,9772.0,125,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,64625,66625
TRENT,2025-11-17 12:08:23.639823,4405.7,295700,100,8173800,0,4405.6,200,4407.2,200,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,44400,123600
RELIND,2025-11-17 12:08:23.640919,1518.4,3367500,500,100703500,0,1517.9,2000,1518.5,1500,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,346000,874000
TCS,2025-11-17 12:08:23.847412,3110.5,701400,175,24386600,0,3109.5,175,3110.0,175,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,126525,219275
MCX,2025-11-17 12:08:24.216617,9771.0,350125,250,2620250,0,9765.5,250,9771.5,250,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,64750,66750
TRENT,2025-11-17 12:08:24.633973,4405.7,295700,100,8173800,0,4405.6,200,4407.2,200,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,44400,123700
RELIND,2025-11-17 12:08:24.824283,1518.4,3367500,500,100703500,0,1517.9,1000,1518.4,1500,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,342000,875500
TCS,2025-11-17 12:08:24.983045,3110.5,701400,175,24386600,0,3109.5,175,3110.0,175,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,126700,218925
MCX,2025-11-17 12:08:25.391442,9771.0,350125,250,2620250,0,9765.5,125,9771.0,125,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,64250,66750
TCS,2025-11-17 12:08:25.800608,3110.5,701400,175,24386600,0,3109.5,175,3110.0,175,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,126700,219100
RELIND,2025-11-17 12:08:25.805414,1518.4,3367500,500,100703500,0,1517.9,1000,1518.4,500,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,342000,873500
TRENT,2025-11-17 12:08:25.902644,4405.7,295700,100,8173800,0,4405.6,200,4407.2,200,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,44400,123700
TCS,2025-11-17 12:08:27.031807,3110.5,701400,175,24386600,0,3109.5,175,3110.0,175,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,126700,219100
MCX,2025-11-17 12:08:27.033228,9771.0,350125,250,2620250,0,9764.0,250,9771.5,250,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,64500,66875
TRENT,2025-11-17 12:08:27.034451,4405.7,295700,100,8173800,0,4405.6,200,4407.2,200,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,44200,123700
RELIND,2025-11-17 12:08:27.073722,1518.4,3367500,500,100703500,0,1517.9,1500,1518.4,500,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,341500,873500
TCS,2025-11-17 12:08:28.259972,3110.5,701400,175,24386600,0,3109.5,350,3109.9,175,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,126000,219450
MCX,2025-11-17 12:08:28.261114,9771.0,350125,250,2620250,0,9764.0,250,9771.5,125,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,64375,66875
RELIND,2025-11-17 12:08:28.268681,1518.4,3367500,500,100703500,0,1517.9,1000,1518.4,1000,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,342000,874000
TRENT,2025-11-17 12:08:28.273028,4405.7,295700,100,8173800,0,4405.7,100,4407.2,100,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,44600,123700
TCS,2025-11-17 12:08:29.385748,3110.5,701400,175,24386600,0,3109.5,350,3109.9,175,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,126350,219625
MCX,2025-11-17 12:08:29.435695,9771.0,350125,250,2620250,0,9765.0,250,9771.0,125,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,64500,66750
RELIND,2025-11-17 12:08:29.436984,1518.4,3367500,500,100703500,0,1517.9,1000,1518.4,1500,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,343000,874000
TRENT,2025-11-17 12:08:29.439230,4405.7,295700,100,8173800,0,4405.3,100,4407.2,100,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,44400,123600
TCS,2025-11-17 12:08:30.612922,3110.5,701400,175,24386600,0,3109.5,350,3109.9,175,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,126525,219625
RELIND,2025-11-17 12:08:30.656588,1518.4,3367500,500,100703500,0,1517.9,1000,1518.4,2000,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,342000,872000
TRENT,2025-11-17 12:08:30.657767,4405.7,295700,100,8173800,0,4405.3,100,4407.1,100,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,44500,123700
MCX,2025-11-17 12:08:30.773784,9771.0,350125,250,2620250,0,9765.0,125,9771.0,125,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,64500,66875
TCS,2025-11-17 12:08:31.841195,3110.5,701400,175,24386600,0,3109.5,350,3109.9,175,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,126525,219975
MCX,2025-11-17 12:08:31.842609,9771.0,350125,250,2620250,0,9765.0,125,9771.0,125,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,64500,67250
RELIND,2025-11-17 12:08:31.848727,1518.4,3367500,500,100703500,0,1517.9,2500,1518.4,1500,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,341000,875000
TRENT,2025-11-17 12:08:31.854254,4405.7,295700,100,8173800,0,4405.3,200,4407.1,100,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,44500,123700
5
RELIND,2025-11-17 12:08:15.665399,1518.4,3367500,500,100703500,0,1517.9,500,1518.4,1000,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,344500,875000
TCS,2025-11-17 12:08:16.586347,3110.5,701400,175,24386600,0,3109.5,175,3109.9,175,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,126350,218400
TRENT,2025-11-17 12:08:16.619985,4405.7,295700,100,8173800,0,4405.6,200,4407.0,200,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,44200,124100
MCX,2025-11-17 12:08:16.792163,9767.0,349750,125,2620250,0,9767.0,375,9771.0,125,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,65250,66625
RELIND,2025-11-17 12:08:16.793959,1518.4,3367500,500,100703500,0,1517.9,500,1518.4,500,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,345000,875000
TCS,2025-11-17 12:08:17.816624,3110.5,701400,175,24386600,0,3109.5,175,3109.9,175,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,126875,218400
TRENT,2025-11-17 12:08:17.817640,4405.7,295700,100,8173800,0,4405.6,200,4407.0,200,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,44200,124100
MCX,2025-11-17 12:08:18.019593,9767.0,349750,125,2620250,0,9767.0,375,9771.0,375,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,65250,67000
RELIND,2025-11-17 12:08:18.020655,1518.4,3367500,500,100703500,0,1517.9,500,1518.5,1500,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,345000,875000
TRENT,2025-11-17 12:08:18.839577,4405.7,295700,100,8173800,0,4405.6,200,4407.0,200,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,44200,124100
TCS,2025-11-17 12:08:18.935342,3110.5,701400,175,24386600,0,3109.5,175,3109.9,175,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,126700,218750
RELIND,2025-11-17 12:08:19.039175,1518.4,3367500,500,100703500,0,1517.9,1500,1518.5,1500,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,346000,874500
MCX,2025-11-17 12:08:19.247309,9767.0,349750,125,2620250,0,9767.0,375,9771.0,375,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,65250,67000
TRENT,2025-11-17 12:08:20.271827,4405.7,295700,100,8173800,0,4405.6,200,4407.0,100,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,44300,123800
RELIND,2025-11-17 12:08:20.273416,1518.4,3367500,500,100703500,0,1517.9,1500,1518.5,1000,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,345500,874500
TCS,2025-11-17 12:08:20.274611,3110.5,701400,175,24386600,0,3109.5,175,3109.9,175,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,126700,218750
MCX,2025-11-17 12:08:20.373703,9771.0,349750,250,2620250,0,9767.0,375,9771.0,375,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,65250,67000
MCX,2025-11-17 12:08:20.374904,9771.0,350125,250,2620250,0,9765.0,250,9771.5,125,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,64625,66750
TRENT,2025-11-17 12:08:21.297873,4405.7,295700,100,8173800,0,4405.6,200,4407.0,100,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,44600,123800
RELIND,2025-11-17 12:08:21.299195,1518.4,3367500,500,100703500,0,1517.9,1500,1518.5,1000,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,345500,874500
TCS,2025-11-17 12:08:21.348716,3110.5,701400,175,24386600,0,3109.5,175,3109.9,175,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,126700,218750
MCX,2025-11-17 12:08:21.749871,9771.0,350125,250,2620250,0,9766.0,250,9772.0,125,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,64750,66625
RELIND,2025-11-17 12:08:22.423251,1518.4,3367500,500,100703500,0,1517.9,1500,1518.5,1000,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,346000,874500
TRENT,2025-11-17 12:08:22.424258,4405.7,295700,100,8173800,0,4405.6,200,4407.2,200,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,44400,123700
TCS,2025-11-17 12:08:22.571774,3110.5,701400,175,24386600,0,3109.5,175,3110.1,525,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,126875,218925
MCX,2025-11-17 12:08:22.960539,9771.0,350125,250,2620250,0,9766.0,250,9772.0,125,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,64625,66625
TRENT,2025-11-17 12:08:23.639823,4405.7,295700,100,8173800,0,4405.6,200,4407.2,200,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,44400,123600
RELIND,2025-11-17 12:08:23.640919,1518.4,3367500,500,100703500,0,1517.9,2000,1518.5,1500,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,346000,874000
TCS,2025-11-17 12:08:23.847412,3110.5,701400,175,24386600,0,3109.5,175,3110.0,175,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,126525,219275
MCX,2025-11-17 12:08:24.216617,9771.0,350125,250,2620250,0,9765.5,250,9771.5,250,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,64750,66750
TRENT,2025-11-17 12:08:24.633973,4405.7,295700,100,8173800,0,4405.6,200,4407.2,200,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,44400,123700
RELIND,2025-11-17 12:08:24.824283,1518.4,3367500,500,100703500,0,1517.9,1000,1518.4,1500,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,342000,875500
TCS,2025-11-17 12:08:24.983045,3110.5,701400,175,24386600,0,3109.5,175,3110.0,175,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,126700,218925
MCX,2025-11-17 12:08:25.391442,9771.0,350125,250,2620250,0,9765.5,125,9771.0,125,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,64250,66750
TCS,2025-11-17 12:08:25.800608,3110.5,701400,175,24386600,0,3109.5,175,3110.0,175,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,126700,219100
RELIND,2025-11-17 12:08:25.805414,1518.4,3367500,500,100703500,0,1517.9,1000,1518.4,500,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,342000,873500
TRENT,2025-11-17 12:08:25.902644,4405.7,295700,100,8173800,0,4405.6,200,4407.2,200,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,44400,123700
TCS,2025-11-17 12:08:27.031807,3110.5,701400,175,24386600,0,3109.5,175,3110.0,175,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,126700,219100
MCX,2025-11-17 12:08:27.033228,9771.0,350125,250,2620250,0,9764.0,250,9771.5,250,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,64500,66875
TRENT,2025-11-17 12:08:27.034451,4405.7,295700,100,8173800,0,4405.6,200,4407.2,200,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,44200,123700
RELIND,2025-11-17 12:08:27.073722,1518.4,3367500,500,100703500,0,1517.9,1500,1518.4,500,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,341500,873500
TCS,2025-11-17 12:08:28.259972,3110.5,701400,175,24386600,0,3109.5,350,3109.9,175,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,126000,219450
MCX,2025-11-17 12:08:28.261114,9771.0,350125,250,2620250,0,9764.0,250,9771.5,125,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,64375,66875
RELIND,2025-11-17 12:08:28.268681,1518.4,3367500,500,100703500,0,1517.9,1000,1518.4,1000,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,342000,874000
TRENT,2025-11-17 12:08:28.273028,4405.7,295700,100,8173800,0,4405.7,100,4407.2,100,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,44600,123700
TCS,2025-11-17 12:08:29.385748,3110.5,701400,175,24386600,0,3109.5,350,3109.9,175,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,126350,219625
MCX,2025-11-17 12:08:29.435695,9771.0,350125,250,2620250,0,9765.0,250,9771.0,125,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,64500,66750
RELIND,2025-11-17 12:08:29.436984,1518.4,3367500,500,100703500,0,1517.9,1000,1518.4,1500,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,343000,874000
TRENT,2025-11-17 12:08:29.439230,4405.7,295700,100,8173800,0,4405.3,100,4407.2,100,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,44400,123600
TCS,2025-11-17 12:08:30.612922,3110.5,701400,175,24386600,0,3109.5,350,3109.9,175,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,126525,219625
RELIND,2025-11-17 12:08:30.656588,1518.4,3367500,500,100703500,0,1517.9,1000,1518.4,2000,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,342000,872000
TRENT,2025-11-17 12:08:30.657767,4405.7,295700,100,8173800,0,4405.3,100,4407.1,100,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,44500,123700
MCX,2025-11-17 12:08:30.773784,9771.0,350125,250,2620250,0,9765.0,125,9771.0,125,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,64500,66875
TCS,2025-11-17 12:08:31.841195,3110.5,701400,175,24386600,0,3109.5,350,3109.9,175,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,126525,219975
MCX,2025-11-17 12:08:31.842609,9771.0,350125,250,2620250,0,9765.0,125,9771.0,125,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,64500,67250
RELIND,2025-11-17 12:08:31.848727,1518.4,3367500,500,100703500,0,1517.9,2500,1518.4,1500,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,341000,875000
